"Use","Category"
"Finger dexterity exercise","*   Tactile Fidget Manipulatives"
"Explore wire texture","*   Tactile Fidget Manipulatives"
"Pocket calming aid","*   Tactile Fidget Manipulatives"
"Check circuit continuity","*   Circuit Jumper & Probe"
"Probe signal path","*   Circuit Jumper & Probe"
"Short pins momentarily","*   Circuit Jumper & Probe"
"Tiny clay shaper","*   Tiny Flexible Armatures"
"Watch escapement tuner","*   Tiny Flexible Armatures"
"Insect leg splint","*   Tiny Flexible Armatures"
"Unclog print nozzle","*   Delicate Clearing Instruments"
"Clear airbrush tip","*   Delicate Clearing Instruments"
"Dislodge headphone debris","*   Delicate Clearing Instruments"
"Clean watch gear teeth","*   Delicate Clearing Instruments"
"Unblock glue nozzle","*   Delicate Clearing Instruments"
"Secure loose button","*   Makeshift Fastener & Hanger"
"Seal snack bag","*   Makeshift Fastener & Hanger"
"Create miniature hook","*   Makeshift Fastener & Hanger"
"Bendable shape meditation","*   Tactile Fidget Manipulatives"
"Kinetic finger sculpture","*   Tactile Fidget Manipulatives"
"Tactile resistance press","*   Tactile Fidget Manipulatives"
"Cool wire tracing","*   Tactile Fidget Manipulatives"
"Micro-loop formation","*   Tactile Fidget Manipulatives"
"SMD Pin Straightener","Precision Component Adjuster"
"Micro Switch Activator","Precision Component Adjuster"
"Tiny Latch Release","Precision Component Adjuster"
"Component Positioning Aid","Precision Component Adjuster"
"Potentiometer Shaft Adjuster","Precision Component Adjuster"
"Small Screw Retrieval","Micro-Item Retrieval Tools"
"Port Debris Hook","Micro-Item Retrieval Tools"
"Stuck Card Extractor","Micro-Item Retrieval Tools"
"Micro Bead Grabber","Micro-Item Retrieval Tools"
"Recessed Item Lifter","Micro-Item Retrieval Tools"
"Solder Gap Former","Custom Gauge Formers"
"Component Lead Bender","Custom Gauge Formers"
"Micro-Loop Jig","Custom Gauge Formers"
"Nozzle Clearing Gauge","Custom Gauge Formers"
"Wire Bend Guide","Custom Gauge Formers"
"Tiny Adhesive Spatula","Miniature Detailing Implements"
"Micro Part Holder","Miniature Detailing Implements"
"Crevice Dust Picker","Miniature Detailing Implements"
"Mini Paint Stirrer","Miniature Detailing Implements"
"SMD Aligner Tool","Miniature Detailing Implements"
"Chip Static Zapper","Static Discharge Wands"
"Fabric Static Neutralizer","Static Discharge Wands"
"Lens Static Eraser","Static Discharge Wands"
"Key Static Discharger","Static Discharge Wands"
"Plastic Part Static Drain","Static Discharge Wands"
"Microswitch contact bender","Precision Component Adjuster"
"Delicate spring re-positioner","Precision Component Adjuster"
"Connector pin realigner","Precision Component Adjuster"
"SMD component nudger","Precision Component Adjuster"
"Small mechanism linkage adjuster","Precision Component Adjuster"
"Fallen screw retriever","Micro-Item Retrieval Tools"
"Debris gap fisher","Micro-Item Retrieval Tools"
"Extract lodged SIM","Micro-Item Retrieval Tools"
"Snag earring back","Micro-Item Retrieval Tools"
"Retrieve watch spring","Micro-Item Retrieval Tools"
"Component lead jig","Custom Gauge Formers"
"Micro-bore sizer","Custom Gauge Formers"
"Filament spacing guide","Custom Gauge Formers"
"Wire insulation gauge","Custom Gauge Formers"
"Tiny Glue Applicator","Miniature Detailing Implements"
"Model Part Positioner","Miniature Detailing Implements"
"Resin Bubble Popper","Miniature Detailing Implements"
"Micro-Texture Stylus","Miniature Detailing Implements"
"Paint Chip Restorer","Miniature Detailing Implements"
"Ground body charge","Static Discharge Wands"
"Component static neutralizer","Static Discharge Wands"
"Lens static dissipator","Static Discharge Wands"
"Micro-device ground point","Static Discharge Wands"
"Sensitive area de-static","Static Discharge Wands"
"Micro-LED heat path","*   Micro Thermal Bridges"
"Spot cooling conductor","*   Micro Thermal Bridges"
"Solder spot heater","*   Micro Thermal Bridges"
"Sensor heat conduit","*   Micro Thermal Bridges"
"Local anti-ice element","*   Micro Thermal Bridges"
"Dollhouse miniature rail","*   Miniature Decorative Elements"
"Model detail antenna","*   Miniature Decorative Elements"
"Tiny charm loop","*   Miniature Decorative Elements"
"Fairy garden fence","*   Miniature Decorative Elements"
"Circuit interruption trigger","*   Micro Tamper Indicators"
"Seam distortion flag","*   Micro Tamper Indicators"
"Module seating confirmation","*   Micro Tamper Indicators"
"Housing opening obstruction","*   Micro Tamper Indicators"
"Fastener rotation telltale","*   Micro Tamper Indicators"
"Micro-droplet applicator","*   Tiny Sample Manipulators"
"Particle sifting tool","*   Tiny Sample Manipulators"
"Fiber extraction probe","*   Tiny Sample Manipulators"
"Gel consistency tester","*   Tiny Sample Manipulators"
"Crystal shard mover","*   Tiny Sample Manipulators"
"Resonance Seeker","*   Acoustic Tapping Tools"
"Density Tapper","*   Acoustic Tapping Tools"
"Alignment Tapper","*   Acoustic Tapping Tools"
"Void Tapper","*   Acoustic Tapping Tools"
"Sensor Response Tapper","*   Acoustic Tapping Tools"
"Thermal Flow Inducer","*   Micro Thermal Bridges"
"Localized Heat Spreader","*   Micro Thermal Bridges"
"Micro Temperature Sensor","*   Micro Thermal Bridges"
"Heat Dissipation Trace","*   Micro Thermal Bridges"
"Targeted Thermal Link","*   Micro Thermal Bridges"
"Miniature Pendant Loop","*   Miniature Decorative Elements"
"Dollhouse Chandelier Arm","*   Miniature Decorative Elements"
"Tiny Embellishment Curl","*   Miniature Decorative Elements"
"Model Railing Detail","*   Miniature Decorative Elements"
"Small Ornament Hanger","*   Miniature Decorative Elements"
"Screw turn breach","*   Micro Tamper Indicators"
"Circuit disconnect flag","*   Micro Tamper Indicators"
"Cover integrity witness","*   Micro Tamper Indicators"
"Joint separation marker","*   Micro Tamper Indicators"
"Micro access seal","*   Micro Tamper Indicators"
"Micro-sample stirrer","*   Tiny Sample Manipulators"
"Tiny particle extractor","*   Tiny Sample Manipulators"
"Fiber alignment guide","*   Tiny Sample Manipulators"
"Gel spreading tool","*   Tiny Sample Manipulators"
"Void detection sounder","*   Acoustic Tapping Tools"
"Circuit continuity tapper","*   Acoustic Tapping Tools"
"Resonance tuning wire","*   Acoustic Tapping Tools"
"Delicate structure vibrator","*   Acoustic Tapping Tools"
"Substrate density probe","*   Acoustic Tapping Tools"
"Emergency Radio Whip","Flexible Signal Antennas"
"Wearable Sensor Link","Flexible Signal Antennas"
"Proximity Field Generator","Flexible Signal Antennas"
"Micro-RFID Coil","Flexible Signal Antennas"
"Temporary RF Extender","Flexible Signal Antennas"
"3D Nozzle Unclog Pick","Fine Bore Cleaners"
"Airbrush Channel Clearer","Fine Bore Cleaners"
"Medical Needle Unblocker","Fine Bore Cleaners"
"Instrument Orifice Probe","Fine Bore Cleaners"
"Capillary Tube Reamer","Fine Bore Cleaners"
"Micro-bead Stringer","Micro Threading Guides"
"LED Lead Threader","Micro Threading Guides"
"Small Wire Puller","Micro Threading Guides"
"Fiber Optic Guide","Micro Threading Guides"
"Miniature Connector Threader","Micro Threading Guides"
"Wire bundle cinch","Temporary Component Fasteners"
"Component alignment holder","Temporary Component Fasteners"
"Battery terminal bridge","Temporary Component Fasteners"
"Mini panel latch","Temporary Component Fasteners"
"PCB component holddown","Temporary Component Fasteners"
"Point-contact probe","Micro Electrode Tips"
"Neural stimulator","Micro Electrode Tips"
"Cell potential sensor","Micro Electrode Tips"
"Micro-electrolysis tip","Micro Electrode Tips"
"Signal injection probe","Micro Electrode Tips"
" RFID tag antenna","Flexible Signal Antennas"
" NFC communication coil","Flexible Signal Antennas"
" On-body sensor telemetry","Flexible Signal Antennas"
" EM field test antenna","Flexible Signal Antennas"
" Wireless power coil","Flexible Signal Antennas"
"Inkjet printhead unclogger","Fine Bore Cleaners"
"Charging port lint remover","Fine Bore Cleaners"
"Micro-tubing blockage probe","Fine Bore Cleaners"
"Miniature bead threader","Micro Threading Guides"
"Micro-suture pilot","Micro Threading Guides"
"Connector pin aligner","Micro Threading Guides"
"Micro-eyelet line threader","Micro Threading Guides"
"Pin component leads","Temporary Component Fasteners"
"Bundle tiny wires","Temporary Component Fasteners"
"Attach small heatsink","Temporary Component Fasteners"
"Hold miniature gears","Temporary Component Fasteners"
"Secure battery contact","Temporary Component Fasteners"
"Neural Signal Reader","Micro Electrode Tips"
"Cellular Stimulus Emitter","Micro Electrode Tips"
"Biosensor Point Contact","Micro Electrode Tips"
"Microfluidic Sample Dipper","Micro Electrode Tips"
"Subcellular Voltage Probe","Micro Electrode Tips"
"*   Micro-clearance check","*   Precision Gap Gauges"
"*   Electrical contact gauge","*   Precision Gap Gauges"
"*   Solder bridge detector","*   Precision Gap Gauges"
"*   Nozzle orifice gauge","*   Precision Gap Gauges"
"*   Fine gap shim","*   Precision Gap Gauges"
" Breadboard test link","*   Temporary Circuit Jumpers"
" Short circuit diagnostic","*   Temporary Circuit Jumpers"
" Fuse bypass link","*   Temporary Circuit Jumpers"
"*   Micro-component prop","*   Miniature Structural Supports"
"*   Fragile joint splint","*   Miniature Structural Supports"
"*   Tiny item holder","*   Miniature Structural Supports"
"*   Miniature pivot pin","*   Miniature Structural Supports"
"*   Small form guide","*   Miniature Structural Supports"
"Insect wing spreader","*   Delicate Specimen Immobilizers"
"Petal positioner","*   Delicate Specimen Immobilizers"
"Micro-crystal holder","*   Delicate Specimen Immobilizers"
"Microorganism restraint loop","*   Delicate Specimen Immobilizers"
"Anther alignment clip","*   Delicate Specimen Immobilizers"
"Port lint extractor","*   Micro Debris Extractors"
"Nozzle clog probe","*   Micro Debris Extractors"
"Splinter removal pick","*   Micro Debris Extractors"
"Watch gear debris","*   Micro Debris Extractors"
"Micro-screw retriever","*   Micro Debris Extractors"
"Solder bridge check","*   Precision Gap Gauges"
"Lead spacing verify","*   Precision Gap Gauges"
"Bearing play gauge","*   Precision Gap Gauges"
"Micro-hinge clearance","*   Precision Gap Gauges"
"Bridge broken trace","*   Temporary Circuit Jumpers"
"Simulate switch closure","*   Temporary Circuit Jumpers"
"Set mode pin","*   Temporary Circuit Jumpers"
"Micro-PCB stand","*   Miniature Structural Supports"
"Flex circuit brace","*   Miniature Structural Supports"
"Component alignment guide","*   Miniature Structural Supports"
"Miniature model reinforcement","*   Miniature Structural Supports"
"Tiny wire frame","*   Miniature Structural Supports"
"Insect appendage clamp","*   Delicate Specimen Immobilizers"
"Coverslip anchor","*   Delicate Specimen Immobilizers"
"Fungus filament brace","*   Delicate Specimen Immobilizers"
"Embryo manipulation loop","*   Delicate Specimen Immobilizers"
"Small feather pin","*   Delicate Specimen Immobilizers"
"Lens debris hook","*   Micro Debris Extractors"
"Port lint snag","*   Micro Debris Extractors"
"Circuit gunk dislodger","*   Micro Debris Extractors"
"Gear shard extractor","*   Micro Debris Extractors"
"Capillary particle sweep","*   Micro Debris Extractors"
"Shrink micro tubing","Micro Thermal Probes"
"Melt precision wax","Micro Thermal Probes"
"Local solder reflow","Micro Thermal Probes"
"Heat-activate adhesive","Micro Thermal Probes"
"Probe sub-surface heat","Micro Thermal Probes"
"Retrieve tiny components","Fine Adjustment Manipulators"
"Align micro optics","Fine Adjustment Manipulators"
"Depress recessed buttons","Fine Adjustment Manipulators"
"Adjust miniature springs","Fine Adjustment Manipulators"
"Micro-powder partition","Miniature Sample Dividers"
"Split tiny fluid drops","Miniature Sample Dividers"
"Micro-gel sectioning","Miniature Sample Dividers"
"Divide cellular clumps","Miniature Sample Dividers"
"Small crystal cleavage","Miniature Sample Dividers"
"Micro-particle arraying","Micro Scale Sculpting Wires"
"Resin detail shaping","Micro Scale Sculpting Wires"
"Tiny adhesive application","Micro Scale Sculpting Wires"
"Sub-millimeter component positioning","Micro Scale Sculpting Wires"
"Micro-fiber optic guidance","Micro Scale Sculpting Wires"
"Lens centering aid","Optical Component Aligners"
"Mirror angle adjuster","Optical Component Aligners"
"Ferrule alignment nudge","Optical Component Aligners"
"Aperture iris setter","Optical Component Aligners"
"Prism rotation fine-tuner","Optical Component Aligners"
"Micro-thermocouple lead","Micro Thermal Probes"
"Localized heat dissipator","Micro Thermal Probes"
"Targeted thermal stimulator","Micro Thermal Probes"
"Substrate temperature sensor","Micro Thermal Probes"
"Cryo-probe tip","Micro Thermal Probes"
"Micro-component Aligner","Fine Adjustment Manipulators"
"Optical Fiber Adjuster","Fine Adjustment Manipulators"
"Solder Bridge Former","Fine Adjustment Manipulators"
"Cell Culture Positioner","Fine Adjustment Manipulators"
"Precision Spring Bender","Fine Adjustment Manipulators"
"Gel slice segmenter","Miniature Sample Dividers"
"Fluid channel former","Miniature Sample Dividers"
"Particle trajectory guide","Miniature Sample Dividers"
"Micro-fragment separator","Miniature Sample Dividers"
"* Embryo orienter","Micro Scale Sculpting Wires"
"* Micro-solder applicator","Micro Scale Sculpting Wires"
"* MEMS adjuster","Micro Scale Sculpting Wires"
"* Nanofiber assembler","Micro Scale Sculpting Wires"
"Fiber Core Aligner","Optical Component Aligners"
"Lens Micro-Positioner","Optical Component Aligners"
"Photonic Wafer Adjuster","Optical Component Aligners"
"Micro-Mirror Adjuster","Optical Component Aligners"
"Detector Pixel Aligner","Optical Component Aligners"
"*   RF Emission Loop","*   Electromagnetic Field Inducers"
"*   Tiny Solenoid","*   Electromagnetic Field Inducers"
"*   Magnetic Actuator Loop","*   Electromagnetic Field Inducers"
"*   Resonance Field Exciter","*   Electromagnetic Field Inducers"
"Micro-drop transfer","*   Small Reagent Applicators"
"Micro-sample collector","*   Small Reagent Applicators"
"Spot etchant applicator","*   Small Reagent Applicators"
"Catalyst transfer tip","*   Small Reagent Applicators"
"Micro-film spreader","*   Small Reagent Applicators"
"Pin lifter","*   Fine Lock Picking Tools"
"Latch shim","*   Fine Lock Picking Tools"
"Warding bypasser","*   Fine Lock Picking Tools"
"Broken key extractor","*   Fine Lock Picking Tools"
"Tension bar","*   Fine Lock Picking Tools"
"Puppet limb armature","*   Model Making Armatures"
"Miniature vine core","*   Model Making Armatures"
"Delicate part brace","*   Model Making Armatures"
"Sculpture internal frame","*   Model Making Armatures"
"Tiny accessory former","*   Model Making Armatures"
"*   Micro-radio receiver antenna","*   Miniature Antenna Elements"
"*   UHF tuning element","*   Miniature Antenna Elements"
"*   RFID tag coil","*   Miniature Antenna Elements"
"*   Telemetry probe antenna","*   Miniature Antenna Elements"
"*   Proximity sensor element","*   Miniature Antenna Elements"
"Micro-electromagnet coil","*   Electromagnetic Field Inducers"
"Wireless power emitter","*   Electromagnetic Field Inducers"
"Inductive heating coil","*   Electromagnetic Field Inducers"
"Magnetic micro-actuator","*   Electromagnetic Field Inducers"
"Near-field data transmitter","*   Electromagnetic Field Inducers"
"Gel Micro-Spreader","*   Small Reagent Applicators"
"Powder Grain Selector","*   Small Reagent Applicators"
"Electro-Plating Point","*   Small Reagent Applicators"
"Liquid Film Guide","*   Small Reagent Applicators"
"Micro-Wick Tip","*   Small Reagent Applicators"
"Pin Set Manipulator","*   Fine Lock Picking Tools"
"Wafer Shim","*   Fine Lock Picking Tools"
"Keyway Obstruction Remover","*   Fine Lock Picking Tools"
"Disc Detainer Prober","*   Fine Lock Picking Tools"
"Micro-Tension Bar","*   Fine Lock Picking Tools"
"Tiny Limb Armature","*   Model Making Armatures"
"Sculpting Internal Frame","*   Model Making Armatures"
"Poseable Detail Support","*   Model Making Armatures"
"Model Wiring Path","*   Model Making Armatures"
"Micro-Joint Axis","*   Model Making Armatures"
"Dipole Antenna Arm","*   Miniature Antenna Elements"
"Helical Antenna Coil","*   Miniature Antenna Elements"
"Loop Antenna Shaper","*   Miniature Antenna Elements"
"Ground Plane Radial","*   Miniature Antenna Elements"
"Tuning Stub Element","*   Miniature Antenna Elements"
"Configuration Pin Jumper","Micro Electrical Jumpers"
"Test Point Link","Micro Electrical Jumpers"
"Component Bypass Shunt","Micro Electrical Jumpers"
"SMD Pad Connector","Micro Electrical Jumpers"
"Contact Corrosion Scraper","Precision Cleaning Filaments"
"Small Bore Scourer","Precision Cleaning Filaments"
"Component Crevice Picker","Precision Cleaning Filaments"
"Micro-Switch Cleaner","Precision Cleaning Filaments"
"Isolate circuit breaks","Circuit Continuity Testers"
"Extend multimeter reach","Circuit Continuity Testers"
"Temporary jumper link","Circuit Continuity Testers"
"Probe contact enhancer","Circuit Continuity Testers"
"Secure model parts","Miniature Fastening Pins"
"Pin miniature fabric","Miniature Fastening Pins"
"Tiny latch pin","Miniature Fastening Pins"
"Retain tiny hinges","Miniature Fastening Pins"
"Hold battery cover","Miniature Fastening Pins"
"Hook lost screw","Micro Object Retrievers"
"Snag dropped jewel","Micro Object Retrievers"
"Clear micro-port","Micro Object Retrievers"
"Lift tiny spring","Micro Object Retrievers"
"Bridge circuit gap.","Micro Electrical Jumpers"
"Temporary board short.","Micro Electrical Jumpers"
"Test point extension.","Micro Electrical Jumpers"
"Configure device mode.","Micro Electrical Jumpers"
"Clear atomizer port.","Precision Cleaning Filaments"
"Scrape micro-debris.","Precision Cleaning Filaments"
"Unblock instrument bore.","Precision Cleaning Filaments"
"Dislodge watch grime.","Precision Cleaning Filaments"
"Clean micro-connector pins.","Precision Cleaning Filaments"
"Bridge IC pins","Circuit Continuity Testers"
"Jumper PCB trace","Circuit Continuity Testers"
"Extend multimeter probe","Circuit Continuity Testers"
"Test tiny component","Circuit Continuity Testers"
"Bypass miniature switch","Circuit Continuity Testers"
"Secure miniature gear","Miniature Fastening Pins"
"Lock micro connector","Miniature Fastening Pins"
"Align small parts","Miniature Fastening Pins"
"Form miniature hinge","Miniature Fastening Pins"
"Fish lodged fiber","Micro Object Retrievers"
"Extract jammed SIM","Micro Object Retrievers"
"Snag lost bead","Micro Object Retrievers"
"Scoop port lint","Micro Object Retrievers"
"Create jewelry link.","Miniature Jewelry Findings"
"Craft bead stopper.","Miniature Jewelry Findings"
"Shape tiny earwire.","Miniature Jewelry Findings"
"Bend clasp hook.","Miniature Jewelry Findings"
"Fashion pendant bail.","Miniature Jewelry Findings"
"Tissue Separator","Micro-Dissection Probes"
"Cell Manipulator","Micro-Dissection Probes"
"Fiber Teaser","Micro-Dissection Probes"
"Micro-specimen Lifter","Micro-Dissection Probes"
"Embryo Positioning Tool","Micro-Dissection Probes"
"Micro-Soldering Tip","Localised Micro-Heaters"
"Localized Polymer Curing","Localised Micro-Heaters"
"Targeted Cell Ablation","Localised Micro-Heaters"
"Microfluidic Flow Modifier","Localised Micro-Heaters"
"Spot Adhesive Activator","Localised Micro-Heaters"
"Battery terminal contact","Custom Micro-Springs"
"Micro-valve return","Custom Micro-Springs"
"Flex sensor element","Custom Micro-Springs"
"Catheter tip stabilizer","Custom Micro-Springs"
"*   Flow Path Deflector","Microfluidic Channel Shapers"
"*   Droplet Formation Nodule","Microfluidic Channel Shapers"
"*   Micro-mixer Insert","Microfluidic Channel Shapers"
"*   Fluidic Resistance Element","Microfluidic Channel Shapers"
"*   Cell Sorting Barrier","Microfluidic Channel Shapers"
"*   Miniature Jump Ring","Miniature Jewelry Findings"
"*   Bead Headpin Wire","Miniature Jewelry Findings"
"*   Pendant Bail Former","Miniature Jewelry Findings"
"*   Earring Post Blank","Miniature Jewelry Findings"
"*   Micro Clasp Hook","Miniature Jewelry Findings"
"Micro-tissue retractor","Micro-Dissection Probes"
"Vessel lumen explorer","Micro-Dissection Probes"
"Cell manipulation stylus","Micro-Dissection Probes"
"Nerve tracing tip","Micro-Dissection Probes"
"Micro-debris remover","Micro-Dissection Probes"
"Micro-cautery probe","Localised Micro-Heaters"
"Localized drug release","Localised Micro-Heaters"
"Polymer micro-welder","Localised Micro-Heaters"
"Sterile micro-incisor","Localised Micro-Heaters"
"Micro-bubble inducer","Localised Micro-Heaters"
"Micro-circuit flex connector","Custom Micro-Springs"
"Vibration dampener element","Custom Micro-Springs"
"Sensor pressure contact","Custom Micro-Springs"
"Micro-gripper return spring","Custom Micro-Springs"
"Microfluidic Flow Splitter","Microfluidic Channel Shapers"
"Channel Constriction Element","Microfluidic Channel Shapers"
"Temporary Channel Former","Microfluidic Channel Shapers"
"Channel Fluid Mixer","Microfluidic Channel Shapers"
"Flow Pattern Inducer","Microfluidic Channel Shapers"
"Micro-loop antenna","Miniature Antenna Elements"
"Folded dipole element","Miniature Antenna Elements"
"Parasitic array element","Miniature Antenna Elements"
"Antenna tuning stub","Miniature Antenna Elements"
" Physical Etch Barrier","Micro-Etching Resists"
" Plating Pattern Guide","Micro-Etching Resists"
" Thermal Resist Remover","Micro-Etching Resists"
" Resist Micro-Scraper","Micro-Etching Resists"
" Sacrificial Mask Precursor","Micro-Etching Resists"
" Pin Pitch Spacer","Component Alignment Guides"
" Lead Bend Former","Component Alignment Guides"
" SMD Edge Stop","Component Alignment Guides"
" Connector Mate Guide","Component Alignment Guides"
" Fiber Array Locator","Component Alignment Guides"
"Conductive Polymer Filler","Conductive Material Inclusions"
"Molded Circuit Path","Conductive Material Inclusions"
"Embedded Antenna Segment","Conductive Material Inclusions"
"Strain Gauge Element","Conductive Material Inclusions"
"Micro-heater Element","Conductive Material Inclusions"
"Electroporation Probe","Biological Cell Manipulators"
"Cell Gripping Tweezer","Biological Cell Manipulators"
"Dielectrophoretic Electrode","Biological Cell Manipulators"
"Intracellular Probe","Biological Cell Manipulators"
"Passive RFID Coil","Miniature Antenna Elements"
"Wireless Power Receiver","Miniature Antenna Elements"
"On-Chip Antenna","Miniature Antenna Elements"
"Body Area Network Link","Miniature Antenna Elements"
"Microsatellite Telemetry","Miniature Antenna Elements"
"*   Microfluidic Channel Mask","Micro-Etching Resists"
"*   Isolation Trench Resist","Micro-Etching Resists"
"*   Circuit Line Definition","Micro-Etching Resists"
"*   Micropillar Fabrication Template","Micro-Etching Resists"
"*   Sensor Electrode Patterning","Micro-Etching Resists"
"SMD Placement Stop","Component Alignment Guides"
"Connector Pin Straightener","Component Alignment Guides"
"Substrate Edge Locator","Component Alignment Guides"
"Embedded Circuit Link","Conductive Material Inclusions"
"Internal Heating Element","Conductive Material Inclusions"
"Integrated Antenna Element","Conductive Material Inclusions"
"Embedded Strain Sensor","Conductive Material Inclusions"
"Composite Conductivity Enhancer","Conductive Material Inclusions"
"Cell Injection Probe","Biological Cell Manipulators"
"Electroporation Electrode","Biological Cell Manipulators"
"Cell Repositioning Hook","Biological Cell Manipulators"
"Neural Stimulation Wire","Biological Cell Manipulators"
"Dielectrophoresis Emitter","Biological Cell Manipulators"
"Micro-wire clamp","Miniature Component Securers"
"Flex circuit fastener","Miniature Component Securers"
"Component lead retainer","Miniature Component Securers"
"Small battery holder","Miniature Component Securers"
"Module mounting pin","Miniature Component Securers"
"Probe connection loop","Circuit Test Points"
"Current sense jumper","Circuit Test Points"
"Signal tap extension","Circuit Test Points"
"Voltage test anchor","Circuit Test Points"
"Ground reference post","Circuit Test Points"
"Recessed Button Actuator","Precision Tactile Actuators"
"Micro-switch Depressor","Precision Tactile Actuators"
"Delicate Lever Positioner","Precision Tactile Actuators"
"Pin Contact Aligner","Precision Tactile Actuators"
"Solder Joint Manipulator","Precision Tactile Actuators"
"Inkjet Head Jet Opener","Micro-Nozzle Cleaners"
"Airbrush Tip Reamer","Micro-Nozzle Cleaners"
"Diffuser Mist Port Clearer","Micro-Nozzle Cleaners"
